topic_id,display_name,description,keywords,domain,field,subfield,paper_count,percentage
https://openalex.org/T10022,Semiconductor Quantum Structures and Devices,"This cluster of papers focuses on the physics and applications of quantum dot devices, semiconductor materials, and single-photon sources. It covers topics such as band parameters for III–V compound semiconductors, strong coupling in quantum dot–semiconductor microcavity systems, and the generation of entangled photons from single quantum dots. The research also delves into the electronic structure of quantum dots, electrically driven single-photon sources, and the development of near-optimal single-photon sources in the solid state.",Quantum Dots; Semiconductor; Single-Photon Source; Excitons; Microcavity; Band Parameters; Entangled Photons; Optical Emission; Nanowires; Photovoltaics,Physical Sciences,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",27904,7.98
https://openalex.org/T10321,Quantum Dots Synthesis And Properties,"This cluster of papers explores the diverse applications of quantum dots and nanocrystals in various fields such as bioimaging, photovoltaics, fluorescence imaging, biological detection, and nanoparticle synthesis. The research covers topics ranging from quantum dot solar cells to in vivo molecular and cellular imaging using quantum dots.",Quantum Dots; Nanocrystals; Bioimaging; Photovoltaics; Semiconductor Nanocrystals; Fluorescence Imaging; Colloidal Nanocrystals; Biological Detection; Solar Cells; Nanoparticle Synthesis,Physical Sciences,Materials Science,Materials Chemistry,24850,7.11
https://openalex.org/T10020,Quantum Information and Cryptography,"This cluster of papers covers a wide range of topics in the field of quantum information, including quantum entanglement, cryptography, computation, metrology, superconducting circuits, photon manipulation, measurement, security, and communication. It reflects the ongoing advancements and diverse applications of quantum technologies in various domains.",Quantum; Entanglement; Cryptography; Computation; Metrology; Superconducting Circuits; Photon; Measurement; Security; Communication,Physical Sciences,Computer Science,Artificial Intelligence,22825,6.53
https://openalex.org/T10657,Topological Materials and Phenomena,"This cluster of papers explores the properties and applications of topological insulators and superconductors, including phenomena such as quantum spin Hall effect, Majorana fermions, Dirac and Weyl semimetals, photonic topological insulators, and quantum anomalous Hall effect. It also delves into the potential for topological quantum computation.",Topological Insulators; Superconductors; Quantum Spin Hall Effect; Majorana Fermions; Dirac Semimetals; Weyl Semimetals; Photonic Topological Insulators; Quantum Anomalous Hall Effect; Chiral Anomaly; Topological Quantum Computation,Physical Sciences,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",22606,6.47
https://openalex.org/T10382,Quantum and electron transport phenomena,"This cluster of papers covers advances in semiconductor spintronics, quantum computing, and mesoscopic systems. Topics include coherent manipulation of electron spins, observation of spin-related effects, challenges for spin injection, Kondo physics, and quantum dot-based quantum computing. The research also explores the role of nuclear spins, electron correlations, and the development of new spin-based logic operations.",Spintronics; Semiconductor Quantum Dots; Electron Spin; Quantum Computing; Spin Injection; Kondo Effect; Nuclear Spin; Quantum Hall State; Coherent Manipulation; Mesoscopic Systems,Physical Sciences,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",21622,6.18
https://openalex.org/T10682,Quantum Computing Algorithms and Architecture,"This cluster of papers represents a wide range of advancements in quantum computing and simulation, covering topics such as fault-tolerant quantum computation, quantum machine learning, adiabatic quantum computation, quantum error correction, and topological quantum memory. The research also delves into quantum algorithms, variational quantum algorithms, and quantum simulation of various systems.",Quantum Computation; Quantum Information; Quantum Algorithms; Fault-tolerant Quantum Computation; Quantum Machine Learning; Quantum Simulation; Variational Quantum Algorithms; Adiabatic Quantum Computation; Quantum Error Correction; Topological Quantum Memory,Physical Sciences,Computer Science,Artificial Intelligence,11377,3.25
https://openalex.org/T10099,GaN-based semiconductor devices and materials,"This cluster of papers focuses on the first-principles calculations, properties, and applications of III-nitride semiconductors, particularly Gallium Nitride (GaN) and its alloys. It covers topics such as defects and impurities, band parameters, high-power light-emitting diodes (LEDs), AlGaN/GaN HEMTs, nanowires, UV LEDs, and their applications in solid-state lighting.",III-Nitrides; Semiconductors; Light-Emitting Diodes; GaN; AlGaN/GaN HEMTs; Defects and Impurities; Solid-State Lighting; Nanowires; UV LEDs; Band Parameters,Physical Sciences,Physics and Astronomy,Condensed Matter Physics,11313,3.24
https://openalex.org/T11342,Carbon and Quantum Dots Applications,"This cluster of papers focuses on the synthesis, properties, and diverse applications of carbon quantum dots, including their use in bioimaging, nanomaterial sensors, photocatalytic energy conversion, and biomedical applications. The research covers topics such as photoluminescence mechanisms, surface functionalization, and the development of electroluminescent light-emitting diodes. Additionally, there is a strong emphasis on green synthesis methods for producing these fluorescent nanoparticles.",Carbon Quantum Dots; Fluorescent Nanoparticles; Photoluminescence Mechanism; Bioimaging; Nanomaterial Sensors; Photocatalytic Energy Conversion; Biomedical Applications; Surface Functionalization; Electroluminescent Light-Emitting Diodes; Green Synthesis,Physical Sciences,Materials Science,Materials Chemistry,8140,2.33
https://openalex.org/T10083,Graphene research and applications,"This cluster of papers focuses on the properties, synthesis, and applications of graphene, a two-dimensional carbon material with exceptional electronic, mechanical, and thermal properties. The research covers various aspects such as Raman spectroscopy for characterization, chemical vapor deposition for large-scale production, and the development of graphene-based nanocomposites and transparent conductors.",Graphene; Two-dimensional Materials; Carbon Nanotubes; Nanocomposites; Raman Spectroscopy; Chemical Vapor Deposition; Electronic Properties; Graphene Oxide; Nanoribbons; Transparent Conductors,Physical Sciences,Materials Science,Materials Chemistry,6625,1.9
https://openalex.org/T10037,Physics of Superconductivity and Magnetism,"This cluster of papers focuses on the physics of high-temperature superconductivity, particularly in cuprate superconductors. It covers a wide range of topics including electronic structure calculations, proximity effects in superconductor-ferromagnet structures, quantum Monte Carlo methods, and the evidence for electron–phonon coupling in high-temperature superconductors.",High-Temperature Superconductivity; Cuprate Superconductors; Dynamical Mean-Field Theory; Proximity Effects; Quantum Monte Carlo; Electronic Structure Calculations; Ferromagnet Structures; Valence-Bond Ground States; Electron–Phonon Coupling; Stripe Order,Physical Sciences,Physics and Astronomy,Condensed Matter Physics,6051,1.73
